contratto 1
id_node,value
307,27390.0
30,10302.0
14232,7784.0
47,7310.0
67,6972.0
53,6863.0
25,6861.0
171,6642.0
18,6480.0
91,6480.0
contratto 2
id_node,value
14662,76546.0
14625,51286.0
25526,49506.0
18816,48792.0
15663,47364.0
19587,45492.0
14581,35842.0
18176,33012.0
14537,32954.0
14981,31216.0
contratto 3
id_node,value
38941,832660.9716110749
38363,318388.0
27151,313024.0
27150,312028.0
33794,303714.0
937,301486.09850275196
516,279906.8655807965
14289,264971.30918236345
14476,251402.54365816247
30151,212306.22622491315
contratto 4
id_node,value
1040,79806.0
26390,3422.0
2611,1806.0
39253,547.0
39251,357.0
39293,343.99999999999994
39313,306.0
39282,270.0
39341,218.00000000000003
39279,208.0
contratto 5
id_node,value
2862,4287850.01190487
49013,3460012.0549450787
51264,3324932.5155677423
14289,2929508.952380951
49086,2680648.34890106
40382,2336774.7948717293
50469,2208483.611111101
51142,1812698.0
50507,1731084.0
50509,1599624.0
contratto 6
id_node,value
1802,5783345.934782608
442,5370925.59855077
62711,3578308.5333333174
63361,1549864.0
61815,1490192.622793122
63500,1469928.0
51779,1057290.0
63759,1042664.0
63765,1019460.0
2017,621297.7661836096
contratto 7
id_node,value
442,10221912.648611167
72426,3367850.7167638564
64253,3321038.462611079
49013,1674202.5933332227
2862,1598821.2530001728
72133,1361638.8958700055
69024,1206835.9714286067
72982,1093924.0673235597
14289,1064869.3171339806
50319,910378.047715441
contratto 8
id_node,value
77068,55115732.77777773
74477,1622715.0
74450,1607601.0740738101
74446,1461618.0
74448,1373589.0
74461,1314761.0
74544,577995.0
74472,164430.0
586,133653.0
75211,118765.99999999999
contratto 9
id_node,value
307,1604022.0
89535,472120.0
90797,469890.0
67139,458809.0
93809,392578.0
92998,369254.0
89627,367112.0
89567,328304.0
90868,316980.0
91849,232804.0
contratto 10
id_node,value
102786,2389984.4748418364
96347,1972271.2606729465
53,1622877.457945439
14476,1358317.9058251246
937,1212229.9295347596
2349,852091.066702873
94482,637602.0
94705,593615.3443741931
14184,533797.2577693767
4918,500120.51350553124
