contratto 1
id_node,value
30,9.519880684162093e-05
25,7.933233903468411e-05
307,7.933233903468411e-05
18,6.346587122774728e-05
14232,6.346587122774728e-05
91,4.759940342081046e-05
47,3.173293561387364e-05
53,3.173293561387364e-05
163,3.173293561387364e-05
171,3.173293561387364e-05
937,3.173293561387364e-05
14476,3.173293561387364e-05
35,1.586646780693682e-05
45,1.586646780693682e-05
67,1.586646780693682e-05
175,1.586646780693682e-05
229,1.586646780693682e-05
239,1.586646780693682e-05
248,1.586646780693682e-05
305,1.586646780693682e-05
contratto 2
id_node,value
14662,0.0006299126338564351
15663,0.0003697313285679074
18816,0.0003560375756579849
14625,0.0003423438227480624
25526,0.0003423438227480624
19587,0.00031495631692821736
14537,0.00023279379946868233
14981,0.00020540629364883736
14581,0.00019171254073891488
15173,0.0001780187878289924
18176,0.0001643250349190699
15135,0.00015063128200914743
15152,0.00012324377618930246
14773,0.00010955002327937996
14774,9.585627036945747e-05
15534,9.585627036945747e-05
25746,9.585627036945747e-05
16802,8.216251745953497e-05
15804,6.846876454961247e-05
15354,5.4775011639689975e-05
contratto 3
id_node,value
38941,0.004505244707364465
937,0.0017664941253800034
14476,0.0016706378550105459
14289,0.0016295565962807783
38363,0.0015884753375510108
27151,0.0015063128200914757
27150,0.0014926190671815532
33794,0.0014515378084517857
516,0.0014378440555418632
30151,0.0013556815380823281
53,0.0012598252677128705
27727,0.0012324377618930255
4706,0.0009311751978747303
38896,0.0009037876920548853
307,0.0008627064333251177
5720,0.0007805439158655827
2349,0.0006983813984060476
6225,0.0006983813984060476
38452,0.0006983813984060476
25942,0.0006846876454961251
contratto 4
id_node,value
1040,0.061672960365559325
26390,0.0027766318662139386
2611,0.0011741186177133265
39253,0.0003014628883317995
39282,0.0001903976136832418
39293,0.0001903976136832418
39313,0.000174531145876305
39251,0.0001586646780693682
39279,0.00011106527464855776
39341,0.00011106527464855776
30332,0.00011106527464855776
39358,9.519880684162093e-05
39640,7.933233903468411e-05
30,4.759940342081046e-05
39335,4.759940342081046e-05
39405,3.173293561387364e-05
39614,3.173293561387364e-05
39286,1.586646780693682e-05
39383,1.586646780693682e-05
39530,1.586646780693682e-05
contratto 5
id_node,value
2862,0.03297455700709511
49013,0.025210199107168187
51264,0.024114698874374264
14289,0.02148549831566885
49086,0.019157560320981766
40382,0.018226385123106932
50469,0.016254484704077872
51142,0.013693752909922325
50507,0.013091227781885744
874,0.011845096267082815
41675,0.011530139950154603
50509,0.011502752444334758
50615,0.010955002327937866
45367,0.00835318927505263
49326,0.008079314216854185
34920,0.00805192671103434
43996,0.00792868293484504
51069,0.00792868293484504
549,0.007408320324267991
49166,0.007134445266069545
contratto 6
id_node,value
1802,0.035398351272151664
442,0.033467532111852376
62711,0.022512529783913153
63361,0.00972256456604486
63500,0.00924328321419758
61815,0.008914633144359444
63759,0.00632651384438413
63765,0.006244351326924596
51779,0.006230657574014674
2017,0.00399857584969734
26638,0.0038753320735080395
10519,0.003847944567688195
52178,0.0034919069920302153
395,0.003300194451291303
14184,0.0030947881576424687
26393,0.0030810944047325465
4201,0.003012625640182935
874,0.002588119299975344
3966,0.002588119299975344
9260,0.0025607317941554993
contratto 7
id_node,value
442,0.08669514967272707
72426,0.028428231041000333
64253,0.027099937008737703
49013,0.01389915920357116
2862,0.013584202886642947
72133,0.011557527455974447
69024,0.010571577246460042
72982,0.009215895708377735
14289,0.008777695615260222
50319,0.007764357899925971
65819,0.007586339112096981
73076,0.006422370114753586
72565,0.006408676361843664
71963,0.006134801303645218
72649,0.006134801303645218
72466,0.006107413797825373
72566,0.005956782515816228
50469,0.005354257387779647
42590,0.005258401117410191
72844,0.004683263495193455
contratto 8
id_node,value
77068,0.6345159140671531
74450,0.01980135182305694
74477,0.018754164947799207
74446,0.016215530098689552
74448,0.01608859835623407
74461,0.01570780312886762
74544,0.006584584139878807
74472,0.0016659791197283693
586,0.00145971503823819
75363,0.0012851838923618845
75553,0.001237584488941074
75211,0.0012058515533272002
75443,0.0011582521499063896
76980,0.0010789198108717053
75348,0.0010630533430647684
74653,0.0010154539396439578
75272,0.0010154539396439578
76784,0.000999587471837021
75159,0.0009837210040300841
76467,0.0009837210040300841
contratto 9
id_node,value
307,0.013375432361247878
67139,0.004061815758575811
89535,0.004030082822961937
90797,0.003934884016120315
89627,0.0032684923682289747
93809,0.0032367594326151014
92998,0.002887697140862495
89567,0.002665566591565382
90868,0.0024593025100752056
40794,0.002173706089550346
91414,0.002078507282708726
91849,0.0019515755402532329
88807,0.001935709072446296
48775,0.0018722432012185485
94103,0.0018405102656046748
93016,0.001697712055342243
92704,0.0016183797163075587
92744,0.0014438485704312532
92566,0.0013962491670104426
91549,0.0013803826992035057
contratto 10
id_node,value
102786,0.023101577126899493
96347,0.019182559578586462
53,0.01532700790150114
14476,0.014089423412560047
937,0.01167772030590561
2349,0.008615492019166754
94482,0.006552851204264933
94705,0.0054421984577793375
4918,0.004934471487957351
14184,0.004918605020150414
102006,0.0029670294798971784
14289,0.0029670294798971784
101345,0.0022054390251642192
94827,0.002173706089550346
103550,0.0021419731539364727
35185,0.0019039761368324223
96203,0.001824643797797738
30627,0.0017770443943769274
103341,0.0017770443943769274
27528,0.00145971503823819
