contratto 1
id_node,value
993951,0.072459229638908
976343,0.06985763495772485
1047981,0.06541324404403696
917133,0.06497964493050644
1018373,0.06351022571243077
1006830,0.058656324524850735
904016,0.05840339170862445
950123,0.05774094861850799
1036726,0.056078818683306685
935010,0.05604268542384579
1025981,0.053332690964278444
968580,0.05016500855153973
895879,0.044347553778335165
962488,0.04081853877098747
147,0.03732565702310067
359,0.022017199431502918
219523,0.017861874593500856
442,0.017548719678173164
989552,0.01724760918266577
201,0.016910365427697485
contratto 2
id_node,value
33695861,0.1939583162160921
33364538,0.1668309917015601
33690668,0.14474296825787503
33364745,0.07449401582998476
33366541,0.053652123901080394
21719,0.049174266699535236
33366008,0.04766795387944359
33364571,0.04676416618738861
2110,0.04176594637526634
33399929,0.03494645742612417
33595600,0.034823213649934855
33439778,0.026702818174349906
33606684,0.02668912442143998
4816,0.02169090460931771
270,0.014392134308328362
2837,0.013515734122093335
33408131,0.013351409087174268
33641477,0.013228165310984967
33655810,0.013228165310984967
33367500,0.012461315148029319
contratto 3
id_node,value
219523,0.10212463565628808
192,0.06773781706935339
935010,0.04282995688097745
895879,0.033483487100425195
1018373,0.03318237660491771
968580,0.02949678413990663
998,0.018620673042179493
944424,0.018464095584515648
147,0.016573121672729202
34484844,0.0137908606942406
6529,0.012767085009515306
35432219,0.01205646424011775
890,0.011863753522992989
34072896,0.01116517717341573
36070348,0.010924288777009778
418,0.010731578059885017
7233242,0.009069448124683953
422,0.008202249897622528
2141,0.0075277623876858655
804,0.006877363717389797
contratto 4
id_node,value
9422,0.0696047021414987
18014,0.024618794112686818
13785,0.015465035049261961
935010,0.013911304892443575
201,0.012839351528437092
4657,0.009852335413003295
147,0.004877990027220401
11913915,0.004853901187579806
11913916,0.004829812347939211
13228097,0.004480524173150581
271030,0.004022836219979274
834,0.0019511960108881622
422,0.0019030183316069728
369,0.001842796232505486
37128621,0.0017223520343025126
37167342,0.0017223520343025126
37130063,0.0017103076144822152
6260281,0.0015175968973574576
37128387,0.0011803531423891318
37151349,0.0011321754631079424
contratto 5
id_node,value
935010,0.11149453619259948
147,0.08240900501192085
37248406,0.07271382795169463
37445745,0.07181004025963965
37470993,0.07116643387287322
511,0.04612055980062218
1018373,0.043053159148799196
895879,0.03443978856845698
968580,0.03182428176266149
117449,0.03164626297483248
37420961,0.026387861857421653
21719,0.02247144852518338
37452234,0.022238654725714672
42352,0.02128009202201999
37427878,0.020814504423082573
37248351,0.02002026675430698
207054,0.01947251663791002
37410289,0.01944512913209017
37419075,0.019349272861720702
37424646,0.018637197710404653
contratto 6
id_node,value
1670,0.09711415701104646
192,0.035398549851852784
607,0.033856864114854474
935010,0.026064124491122317
147,0.018680895141280972
1018373,0.018271384867390914
968580,0.018211162768289435
219523,0.017380097800689023
38666628,0.017078987305181627
895879,0.01666947703129157
10276,0.016223833497940623
38852824,0.015212102233035712
33825187,0.015163924553754522
10222021,0.011779442584250906
14054,0.010261845686893412
4435205,0.009069448124683953
35052302,0.00849131597330967
890,0.007648206585888841
944424,0.007383229349842295
6529,0.006058343169609562
contratto 7
id_node,value
607,0.1249554953030548
935010,0.056609974529623984
147,0.05042039821433832
40363551,0.04799660394928177
968580,0.03316626954783405
1018373,0.029359406238875167
895879,0.029003368663217143
37419075,0.024361186426752897
40363832,0.021321173280749763
8321717,0.019048010297702374
17289657,0.018911072768603134
40363952,0.01754169747761073
40376638,0.01736367868978172
511,0.01719935365486263
40363555,0.015172678224193933
37410289,0.013392490345904035
39688971,0.0131870840522552
998,0.012516090159669008
369,0.011379508668145457
40363562,0.010092295894612762
contratto 8
id_node,value
41344523,0.26155068057943204
11585,0.22786404842102964
2382,0.22077068441369618
41336861,0.16833730452165022
41334875,0.0380960205954067
41334417,0.03296086325418519
41334422,0.024826774025690314
41334467,0.019130172815161918
41334415,0.017349984936871794
1529370,0.017103497384493162
41334474,0.012146358831101106
11224,0.01098238983375771
41335137,0.005902007504176539
16402651,0.0056966012105277046
41351930,0.005231013611590347
41353272,0.004313532166625553
41336420,0.004190288390436252
41336140,0.004162900884616408
41334963,0.004135513378796563
2880732,0.004080738367156874
contratto 9
id_node,value
41407949,0.25554645532730985
147,0.18284633729195415
935010,0.12880302555824005
41406362,0.10454556404016685
40363642,0.08699684436200088
41409999,0.06664177486570678
1018373,0.05462144388505047
895879,0.04912918844699399
968580,0.037951966853756236
37248416,0.026557945703754447
607,0.023884084503648772
41406178,0.017223520343025177
37410289,0.016597210512369794
41406310,0.016476766314166835
998,0.01468214776094262
33939726,0.012586418712210843
41406017,0.012393707995086082
41405999,0.01220099727796132
41406049,0.012188952858141023
41406022,0.012116686339219238
contratto 10
id_node,value
944424,0.12769493893477188
42489538,0.07378411581914016
42489515,0.06796666104593894
422,0.05542842001301052
834,0.05026136391010212
369,0.04921349938573608
513,0.04562426227928689
935010,0.04220364705032189
59,0.03784356707537354
418,0.02999060535253876
2926,0.029015007347094796
7835,0.025148748584779834
381,0.022655553681978597
42489520,0.021619733577433155
201,0.019993736901693218
184,0.018584539782718606
1888,0.017091031725001923
1862,0.01646472189434654
147,0.014453303784356965
270,0.013754727434779707
