val_min,val_max,val_avg,val_sum,time_first,time_last,counter_trx,type_trx
562,605,1500000000000000000000,1500000000000000000000,1500000000000000000000,1500000000000000000000,2017-07-25 08:50:29+00:00,2017-07-25 08:50:29+00:00,1,"<Function transfer(address,uint256)>"
569,606,73951916640000000000,73951916640000000000,73951916640000000000,73951916640000000000,2017-08-16 05:29:18+00:00,2017-08-16 05:29:18+00:00,1,"<Function transfer(address,uint256)>"
562,607,398224325600000000000,398224325600000000000,398224325600000000000,398224325600000000000,2017-09-07 05:44:34+00:00,2017-09-07 05:44:34+00:00,1,"<Function transfer(address,uint256)>"
608,609,11000000000000000000,11000000000000000000,11000000000000000000,11000000000000000000,2017-09-12 06:36:19+00:00,2017-09-12 06:36:19+00:00,1,"<Function transfer(address,uint256)>"
610,611,8000000000000000000,8000000000000000000,8000000000000000000,8000000000000000000,2017-07-28 16:00:49+00:00,2017-07-28 16:00:49+00:00,1,"<Function transfer(address,uint256)>"
612,613,19900000000000000000,19900000000000000000,19900000000000000000,19900000000000000000,2017-09-09 16:47:41+00:00,2017-09-09 16:47:41+00:00,1,"<Function transfer(address,uint256)>"
614,550,12282539883105943692000,12282539883105943692000,12282539883105943692000,12282539883105943692000,2017-07-11 04:01:22+00:00,2017-07-11 04:01:22+00:00,1,"<Function transfer(address,uint256)>"
615,616,654740648379052369077,654740648379052369077,654740648379052369077,654740648379052369077,2018-04-08 23:49:20+00:00,2018-04-08 23:49:20+00:00,1,"<Function transfer(address,uint256)>"
617,618,496385199900000000000,496385199900000000000,496385199900000000000,496385199900000000000,2018-04-08 22:07:46+00:00,2018-04-08 22:07:46+00:00,1,"<Function transfer(address,uint256)>"
619,620,764072000000000000000,764072000000000000000,764072000000000000000,764072000000000000000,2017-09-11 02:19:59+00:00,2017-09-11 02:19:59+00:00,1,"<Function transfer(address,uint256)>"
621,556,491845921731028910774,491845921731028910774,491845921731028910774,491845921731028910774,2017-08-15 06:15:43+00:00,2017-08-15 06:15:43+00:00,1,"<Function transfer(address,uint256)>"
622,576,356811923176489970264571492362373784095686655,356811923176489970264571492362373784095686655,356811923176489970264571492362373784095686655,356811923176489970264571492362373784095686655,2017-09-30 14:08:19+00:00,2017-09-30 14:08:19+00:00,1,"<Function transfer(address,uint256)>"
623,624,6500000000000000000,6500000000000000000,6500000000000000000,6500000000000000000,2017-07-06 10:55:18+00:00,2017-07-06 10:55:18+00:00,1,"<Function transfer(address,uint256)>"
625,626,10000000000000000000,10000000000000000000,10000000000000000000,10000000000000000000,2017-11-01 02:52:21+00:00,2017-11-01 02:52:21+00:00,1,"<Function transfer(address,uint256)>"
582,627,53665106900000000000,53665106900000000000,53665106900000000000,53665106900000000000,2017-11-13 11:17:51+00:00,2017-11-13 11:17:51+00:00,1,"<Function transfer(address,uint256)>"
628,629,710828115709999999999,710828115709999999999,710828115709999999999,710828115709999999999,2018-04-14 04:22:30+00:00,2018-04-14 04:22:30+00:00,1,"<Function transfer(address,uint256)>"
630,631,13800000000000000000,13800000000000000000,13800000000000000000,13800000000000000000,2017-11-10 08:40:25+00:00,2017-11-10 08:40:25+00:00,1,"<Function transfer(address,uint256)>"
632,633,72402199999999990000,72402199999999990000,72402199999999990000,72402199999999990000,2018-04-29 19:33:16+00:00,2018-04-29 19:33:16+00:00,1,"<Function transfer(address,uint256)>"
612,634,38900000000000000000,38900000000000000000,38900000000000000000,38900000000000000000,2017-12-03 17:39:25+00:00,2017-12-03 17:39:25+00:00,1,"<Function transfer(address,uint256)>"
610,635,322500000000000000000,322500000000000000000,322500000000000000000,322500000000000000000,2018-02-10 18:49:17+00:00,2018-02-10 18:49:17+00:00,1,"<Function transfer(address,uint256)>"
636,637,1542466500000000000000,1542466500000000000000,1542466500000000000000,1542466500000000000000,2017-12-26 19:01:27+00:00,2017-12-26 19:01:27+00:00,1,"<Function transfer(address,uint256)>"
569,638,174299849460000000000,174299849460000000000,174299849460000000000,174299849460000000000,2017-11-16 13:51:40+00:00,2017-11-16 13:51:40+00:00,1,"<Function transfer(address,uint256)>"
639,640,345866312280000000000,345866312280000000000,345866312280000000000,345866312280000000000,2018-05-20 02:25:28+00:00,2018-05-20 02:25:28+00:00,1,"<Function transfer(address,uint256)>"
641,13,6257778500000000000000,6257778500000000000000,6257778500000000000000,6257778500000000000000,2018-05-28 18:45:20+00:00,2018-05-28 18:45:20+00:00,1,"<Function transfer(address,uint256)>"
642,380,262000000000000000000,262000000000000000000,262000000000000000000,262000000000000000000,2018-05-28 16:59:42+00:00,2018-05-28 16:59:42+00:00,1,"<Function transfer(address,uint256)>"
569,643,298609503210000000000,298609503210000000000,298609503210000000000,298609503210000000000,2017-12-10 20:45:07+00:00,2017-12-10 20:45:07+00:00,1,"<Function transfer(address,uint256)>"
